date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:36	67/67	U-----	200	untouched ('OK')	text/plain	etag:%22fa1ded1ed7c11438a9b0385b1e112850%22	https://www.alien.fi/robots.txt		(from )
10:27:36	5904/5904	U-----	200	untouched ('OK')	text/html	etag:W/%229b12824d171c0a485df34fbcfc1f6bb0%22	https://www.alien.fi/	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/index.html	(from )
10:27:36	5616/5616	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22592c4909d612751d59c83796ab49bdce%22	https://www.alien.fi/logo.png	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/logo.png	(from https://www.alien.fi/)
10:27:36	31223/31223	U-----	200	untouched ('')	image/vnd.microsoft.icon	etag:W/%224fb9fe48f9b1e0df2d44e1b573aaf734%22	https://www.alien.fi/favicon.ico	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/favicon.ico	(from https://www.alien.fi/)
10:27:36	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Feb%202024%2015:27:35%20GMT	https://fonts.gstatic.com/	C:/My%20Web%20Sites/https___www.alien.fi_/fonts.gstatic.com/index.html	(from https://www.alien.fi/)
10:27:36	804/804	---MC-	200	added ('OK')	text/css	date:Mon,%2019%20Feb%202024%2015:27:35%20GMT	https://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500;700&display=swap	C:/My%20Web%20Sites/https___www.alien.fi_/fonts.googleapis.com/css26c6c.css	(from https://www.alien.fi/)
10:27:36	5616/5616	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22592c4909d612751d59c83796ab49bdce%22	https://www.alien.fi/apps/web/public/fonts/alien_league/alienleaguebold.ttf	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/apps/web/public/fonts/alien_league/alienleaguebold.ttf	(from https://www.alien.fi/)
10:27:36	529/529	U-----	200	untouched ('')	application/json	etag:%22e62028d1e748ff8a2427034885873f4d%22	https://www.alien.fi/manifest.json	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/manifest.json	(from https://www.alien.fi/)
10:27:37	22656/22656	U-----	200	untouched ('')	font/ttf	etag:W/%22777f7b0ba54a3e6178e2d32677a29c0b%22	https://www.alien.fi/fonts/alien_league/alienleague.ttf	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/fonts/alien_league/alienleague.ttf	(from https://www.alien.fi/)
10:27:37	275692/275692	U-----	200	untouched ('OK')	text/css	etag:W/%22f26ada0cd8c8e9d5b92c32314783cf75%22	https://www.alien.fi/_next/static/css/32ee8ccb2fa46c5d.css	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/_next/static/css/32ee8ccb2fa46c5d.css	(from https://www.alien.fi/)
10:27:38	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Feb%202024%2015:27:36%20GMT	https://fonts.gstatic.com/robots.txt		(from https://www.alien.fi/)
10:27:42	270/270	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Feb%202024%2015:27:36%20GMT	https://www.googletagmanager.com/ns.html?id=GTM-TLF66T4	C:/My%20Web%20Sites/https___www.alien.fi_/www.googletagmanager.com/ns0bb1.html	(from https://www.alien.fi/)
10:28:02	91460/91460	U-----	200	untouched ('')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://www.alien.fi/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://www.alien.fi/)
10:28:02	7396/7396	U-----	200	untouched ('')	application/javascript	etag:W/%22a76f2cc71f52a91516e19102c70887c4%22	https://www.alien.fi/_next/static/chunks/webpack-61cbd9257b7a2287.js	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/_next/static/chunks/webpack-61cbd9257b7a2287.js	(from https://www.alien.fi/)
10:28:03	141133/141133	U-----	200	untouched ('')	application/javascript	etag:W/%220f5c9b982115d6e740d4f4506e81d2ad%22	https://www.alien.fi/_next/static/chunks/framework-523c2971fe2a2a24.js	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/_next/static/chunks/framework-523c2971fe2a2a24.js	(from https://www.alien.fi/)
10:28:07	127062/127062	U-----	200	untouched ('')	application/javascript	etag:W/%22ca1bfb1cd726bda958d00c976d4ed511%22	https://www.alien.fi/_next/static/chunks/main-1e3aba452e579548.js	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/_next/static/chunks/main-1e3aba452e579548.js	(from https://www.alien.fi/)
10:28:07	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2019%20Feb%202024%2015:28:01%20GMT	https://fonts.googleapis.com/robots.txt		(from https://www.alien.fi/)
10:28:28	2360111/2360111	U-----	200	untouched ('')	application/javascript	etag:W/%2257de0f4f1f00be4dee0df5f52ed76ba3%22	https://www.alien.fi/_next/static/chunks/pages/_app-d710e59c435879b7.js	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/_next/static/chunks/pages/_app-d710e59c435879b7.js	(from https://www.alien.fi/)
10:28:28	69798/69798	U-----	200	untouched ('')	application/javascript	etag:W/%22eee455c8fcee38f71159bbad99524952%22	https://www.alien.fi/_next/static/chunks/2edb282b-839b556289bfa5bb.js	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/_next/static/chunks/2edb282b-839b556289bfa5bb.js	(from https://www.alien.fi/)
10:28:28	18298/18298	U-----	200	untouched ('')	application/javascript	etag:W/%226415fdc82337731a31c1698f6baee39b%22	https://www.alien.fi/_next/static/chunks/3909-92fa70664907abdc.js	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/_next/static/chunks/3909-92fa70664907abdc.js	(from https://www.alien.fi/)
10:28:28	8041/8041	U-----	200	untouched ('')	application/javascript	etag:W/%22e6cb6fff74f3e5d351e6bf582c6380e0%22	https://www.alien.fi/_next/static/chunks/904-dd1ff362f11ec644.js	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/_next/static/chunks/904-dd1ff362f11ec644.js	(from https://www.alien.fi/)
10:28:34	128256/128256	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2011%20May%202022%2019:24:44%20GMT	https://fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmSU5vAw.ttf	C:/My%20Web%20Sites/https___www.alien.fi_/fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmSU5vAw.ttf	(from https://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500;700&display=swap)
10:28:34	56160/56160	U-----	200	untouched ('')	application/javascript	etag:W/%222a54ad2923de0de3cec0aa129a260773%22	https://www.alien.fi/_next/static/chunks/pages/index-74f1899fc5e69657.js	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/_next/static/chunks/pages/index-74f1899fc5e69657.js	(from https://www.alien.fi/)
10:28:34	498/498	U-----	200	untouched ('')	application/javascript	etag:%22332421fe5ee5462e5eaec830b47b093a%22	https://www.alien.fi/_next/static/OALJvlzSVzPFnZ-5HQPou/_ssgManifest.js	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/_next/static/OALJvlzSVzPFnZ-5HQPou/_ssgManifest.js	(from https://www.alien.fi/)
10:28:34	10162/10162	U-----	200	untouched ('')	application/javascript	etag:W/%22bd1a58857cf957fbe8f980741c8dd352%22	https://www.alien.fi/_next/static/OALJvlzSVzPFnZ-5HQPou/_buildManifest.js	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/_next/static/OALJvlzSVzPFnZ-5HQPou/_buildManifest.js	(from https://www.alien.fi/)
10:28:34	17860/17860	U-----	200	untouched ('')	font/ttf	etag:W/%228aeca3f08d3249408fb97ebec5f74000%22	https://www.alien.fi/fonts/alien-encounters-solid/Alien-Encounters-Solid-Regular.ttf	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/fonts/alien-encounters-solid/Alien-Encounters-Solid-Regular.ttf	(from https://www.alien.fi/)
10:28:34	22964/22964	U-----	200	untouched ('')	font/ttf	etag:W/%2250619dee4be17c478dc6ddbea4d66484%22	https://www.alien.fi/fonts/alien_league/alienleaguebold.ttf	C:/My%20Web%20Sites/https___www.alien.fi_/www.alien.fi/fonts/alien_league/alienleaguebold.ttf	(from https://www.alien.fi/)
10:28:34	129584/129584	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2011%20May%202022%2019:25:02%20GMT	https://fonts.gstatic.com/s/roboto/v30/KFOmCnqEu92Fr1Me5Q.ttf	C:/My%20Web%20Sites/https___www.alien.fi_/fonts.gstatic.com/s/roboto/v30/KFOmCnqEu92Fr1Me5Q.ttf	(from https://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500;700&display=swap)
10:28:34	129768/129768	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2011%20May%202022%2019:25:08%20GMT	https://fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmEU9vAw.ttf	C:/My%20Web%20Sites/https___www.alien.fi_/fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmEU9vAw.ttf	(from https://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500;700&display=swap)
10:28:35	128676/128676	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2011%20May%202022%2019:24:56%20GMT	https://fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmWUlvAw.ttf	C:/My%20Web%20Sites/https___www.alien.fi_/fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmWUlvAw.ttf	(from https://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500;700&display=swap)
10:28:35	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Feb%202024%2015:28:34%20GMT	https://www.googletagmanager.com/robots.txt		(from https://www.alien.fi/)
